"profread","female","famrisk","center","noreadbo","minority","halfdayK","wksesl","p1ageent_66"
1,0,1,1,1,1,0,0.01,-7
1,1,1,1,0,1,0,-0.75,-2
1,1,0,1,0,0,0,1.74,5
1,0,1,1,0,1,1,-0.19,-1
1,0,1,1,0,1,1,1.08,3
1,1,0,1,0,1,1,0.47,-1
1,0,1,1,0,1,1,1.12,1
1,0,0,1,0,1,1,0.38,2
1,0,0,1,0,1,0,0.28,4
1,1,0,1,0,1,0,0.84,-3
1,0,0,1,0,1,0,0.75,1
1,1,0,1,0,0,0,0.69,0
1,0,0,1,0,1,0,1.32,3
1,1,1,0,0,1,0,2.12,7
1,0,0,1,0,1,0,1.51,3
1,1,0,1,0,0,0,0.79,-2
1,1,0,1,0,0,0,1.88,6
1,0,0,1,0,1,0,2.13,5
1,1,0,0,0,1,1,1.76,-7
1,1,1,0,0,1,1,-0.35,-2
1,0,0,1,0,1,0,-0.04,-1
1,0,0,1,1,1,1,0.3,0
1,0,0,1,0,0,1,1.77,3
1,0,0,1,0,0,1,0.92,0
1,0,0,0,0,0,1,0.18,-6
1,0,1,1,0,0,1,-0.05,1
1,0,0,1,0,1,1,0.11,1
1,1,0,1,0,1,1,0.36,-4
1,1,0,0,0,1,1,-0.24,-2
1,1,0,0,0,1,1,0.4,1
